TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-145849,DT037364,Payment Correction Case netting against incorrect Payment Correction Case,ENT,Financial Management,Financials,,"*Issue Description:*
When generating financials for two or more payment correction cases via batch, an underpayment on one case can sometimes be offset against an overpayment on another, even though an overpayment also exists on the same case as the underpayment. This only happens occasionally due to the non-deterministic behavior of the processing. In this instance, the underpayment should be offset against the overpayment on the same payment correction case.
*User Interface Impact:* No 
*Steps to Reproduce (Generic):*
# Log in as a caseworker.
# Register a person.
# Create an integrated case for the person.
# Add evidence to make the person eligible for two components.
# Activate the evidence.
# Add an associated product delivery to the integrated case.
# Add certification to the product delivery.
# Submit, approve and activate the product delivery.
# Click the Financials tab and issue a payment using the page-level action.
# Modify evidence to ensure one of the components is overpaid.
# Activate the evidence.## A Payment Correction - Overpayment case is created.

# Modify evidence to ensure that one of the components is overpaid and the other is underpaid, with the underpayment amount being smaller than the overpayment amount.
# Activate the evidence.## A Payment Correction - Overpayment case is created.

# Submit, approve, and activate both payment correction cases.
# Log in as a system administrator.
# Queue the GenerateInstructionLineItems and GenerateInstruments batch processes.
# Run the batch processes.
# Issue: On occasion, the underpayment is offset against the overpayment on the other payment correction case. It should be offset against the overpayment on the same payment correction case.

*Resolution:*
This behavior was due to non-deterministic code being executed as part of the GenerateInstruments batch process. This process now ensures that overpayments and underpayments on a payment correction case are offset against each other before any allocation is made against a component on a separate payment correction case. 
"
SPM-146041,DT037383,HCR display rules use the wrong period in the Streamlined Medicaid financial unit subscreen,SOL,Income Support HCR,,,"*Issue Description:*
When processing Medicaid financial units, the incomeCounted display rule did not update correctly when income changes occurred across different periods. Specifically, after a change of circumstance where a household member's income increased above the threshold, the system continued to display incomeCounted = No for that member instead of updating to Yes.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Create an application from 1/1/2025 with three family members: Aunt (primary applicant), Mum, and Child.
# Set up family relationships:## Aunt is a sibling of Mum.
## Mum is the parent of Child.
## Aunt is aunt to Child.

# Set up tax relationships:## Aunt is a tax filer.
## Mum and Child are tax dependents of Aunt.

# Add initial income evidence:## Aunt: $8,000 per year.
## Mum: $4,000 per year.

# Authorize the application. Navigate to the Streamlined Medicaid product delivery case and validate the initial ?Income Counted? status for Aunt?s financial unit.## Aunt has ?Income Counted? as Yes, Mum and Child as No.

# Edit Mum?s income to be $8,000 per year starting from 04/01/2025.
# Activate the evidence and validate the updated ?Income Counted? status for Aunt?s financial unit.
# Issue: After the change of circumstances, Mum?s income increased above the threshold, but the system continued to display No instead of updating to Yes.

*Resolution:*
The timeline display for financial unit subscreens has been corrected. Previously, splits introduced by sub-page rules were collapsed due to the <removeduplicates> tag in incomeCountedSplitTimelineForFinancialUnitSubscreens. This tag has now been removed to ensure income-counted changes are displayed correctly when mid-period updates occur. 
This change has been made in the HCR/EJBServer/components/HCR/CREOLE&#95;Rule&#95;Sets/StreamlineMedicaid/ProductDisplay/StreamlineMedicaidFinancialUnits.xml. "
SPM-146270,,Update the version of the dom4j JAR file to the latest version,Third Party Updates,,,,"Dom4j is an open-source XML framework for Java. dom4j allows you to read, write, navigate, create, and modify XML documents. dom4j integrates with DOM and SAX and has full XPath support. It is used in Cúram in some of the client components and in many areas of the application where the requirement is to parse XML documents. 
The version of the dom4j library has now been upgraded from 2.1.4 to 2.1.5. This update includes defect fixes and minor enhancements. As part of this upgrade, the following changes have been made to the Cúram deliverable:
* CuramSDEJ/lib/third&#95;party&#95;version.properties  - Updated to reflect dom4j JAR file version change.
* CuramCDEJ/lib/ext/jar/dom4j-2.1.5.jar  - Updated to version 2.1.5.
* CuramSDEJ/lib/dom4j-2.1.5.jar  - Updated to version 2.1.5.

It is recommended that you review and update any custom scripts and other artifacts that reference dom4j to ensure they point to the updated version of the JAR file.
"
SPM-146272,,Update the Jsoup JAR file to the latest version,Third Party Updates,,,,"Jsoup is an open-source Java library that is used to work with HTML. It provides an API for fetching URLs and extracting and manipulating data by using HTML5 DOM methods and CSS selectors. 
The version of the Jsoup JAR used by Cúram has now been updated from 1.21.1 to 1.22.1. This new JAR file includes minor bug fixes and enhancements. 
As part of this upgrade, the following changes have been made in the Java Development Environment deliverable:
* CuramSDEJlibthird&#95;party&#95;version.properties - Updated to reflect the Jsoup version change.
* CuramSDEJlibjsoup-1.22.1.jar - Added to the SDEJ deliverable.
* CuramCDEJlibextjarjsoup-1.22.1.jar - Updated to version 1.22.1.

Update any custom scripts or other artifacts that reference Jsoup to ensure they point to the updated version of the JAR file.
"
SPM-146456,,Upgrade the supported version of Rational Software Architect Designer to 10.0,Third Party Updates,,,,"Rational Software Architect Designer (RSAD) is the supported modeling environment for the Cúram product. 
The supported version of RSAD has been updated to version 10.0. This version provides support for the Windows 11 platform and IBM Semeru Runtime Open Edition, Version 17.0.12.0."
SPM-146940,,Session fixation risk due to reuse of JSESSIONID in multiple requests,Product Documentation,,,,"*Issue Description:*
Cúram provides in-depth customer guidance on configuring security with WebSphere application servers. The details in the Cúram Deployment Guide for WebSphere Application Server did not fully explain some aspects of session management.
*User Interface Impact:* No
*Steps to Reproduce:* N/A
*Resolution:*
The details on how to configure the application server with security hardening measures have been updated in the Cúram Deployment Guide for WebSphere Application Server. "
SPM-147314,,"Verification proof should not be shared with the target case when the data item being verified (for example, amount) does not match between the source and target cases",CEF,Verification,,,"*Issue Description:*
Verification proof is incorrectly shared to a target case when the data item being verified does not match between the source and target cases. For example, if an amount of $100 is verified on a source case, but the corresponding evidence on the target case has been updated to $200, the verification proof is still shared and incorrectly verifies the target evidence.
*User Interface Impact:* No
*Prerequisites:*
# Log in as an administrator. 
# Configure Earnings evidence sharing from a source Integrated Case to a target Integrated Case with Share Verification set to Yes and Trusted Source set to Yes.
# Configure a verification requirement for Earnings evidence for the data item: amount, with a verification item (for example, Birth Certificate) applied to both the source and target Integrated Cases respectively.

*Steps to Reproduce:*
# Log in as a caseworker. 
# Register a person and create the source Integrated Case.
# Navigate to the person home page, create the target Integrated Case.
# Navigate to the source Integrated Case and add Earnings evidence with an amount of $100. The Earnings evidence is In Edit with an outstanding verification.
# Activate the Earnings evidence.
# Navigate to the target Integrated Case. Verify that the Earnings evidence is shared as In-Edit evidence with an outstanding verification.
# On the target Integrated Case, select the Continue Editing link for the Earnings evidence and update the amount from $100 to $200. Save the change. An outstanding verification is created for the updated Earnings record of $200.
# Navigate to the source Integrated Case. 
# Go to the Verification tab and add proof to the Earnings evidence. The verification on the source Integrated Case is set to verified.
# Navigate to the target Integrated Case and go to the Verification tab.
# Issue: The verification proof added to the source Integrated Case is shared to the target Integrated Case and incorrectly verifies the outstanding verification, even though the data item value (amount of $100) being verified on the source Integrated Case does not match the data item value (amount of $200) on the target Integrated Case.

*Resolution:*
The system now compares the data item values between the source and target cases for all evidence records before sharing verification proof. Verification proof is now only shared to the target case when the data item values match between the source and target cases. This comparison is now performed regardless of the number of evidence records that exist, ensuring that verification proof is not incorrectly shared when data item values differ.
"
SPM-148150,DT037418,An Application Error occurs for a user's location Tree View,CEF,Administration Suite,,,"*Issue Description:*
When an administrator accesses the Tree View tab for a user's location from the user?s homepage, an application error is displayed. This prevents administrators from viewing the location structure as they expect.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as an administrator.
# Navigate to the user?s home page.
# Click the location link on the Home tab to access the user location.
# Navigate to the Tree View tab.
# Issue: The administrator sees the following error: ?An Application Error Has Occurred.?

*Resolution:*
The Tree View page now loads without errors and displays the location structure as expected. "
SPM-148204,DT037424,Reversal of a write-off is incorrectly reported in the Case Transaction Log as the reversal of a payment received,CEF,Financial Management,,,"*Issue Description:*
The reversal of a write-off is incorrectly reported in the Case Transaction Log as the reversal of a payment received.
*User Interface Impact:* No 
*Steps to Reproduce (Generic):*
# Log in as a caseworker.
# Register a new Person.
# Create an integrated case for the person.
# Add the necessary evidence to make the client eligible.
# Create a product delivery associated with the integrated case.
# Add certification, if required.
# Submit, approve, and activate the product delivery.
# Click the Financials tab and issue the payment.
# Modify the evidence on the integrated case so that an overpayment will be generated.
# Activate the evidence.
# Click the Financials tab and select OverUnder Payments.
# Click the hyperlink to the Payment Correction (Overpayment) case.
# If the overpayment is not active, submit, approve and activate the case.
# Click the Financial tab and issue the liability.
# Drill into the financial details on the liability.
# From the row-level menu of the liability instruction line item, select the Write-off action.
# Specify an amount and click Save.
# From the Financials list page, a Liability Write-off should be visible.
# Use the Reverse row-level action to reverse the write-off.
# Click the Home page tab and examine the entries in the Case Transaction Log.
# Issue: The write-off reversal is logged as a payment received reversal in the Case Transaction Log. This is confusing to a caseworker, as it was a write-off reversal, not a payment received reversal.

*Resolution:*
This issue has been addressed, and the Case Transaction Log now correctly reports that a write-off was reversed. 
*Technical:*
The following message entry was added to the BPOCaseEvents.xml:
* WRITEOFF_REVERSED

The following codetable entry was added to CT_CaseTransactionLogEventCode.ctx:
* WRITEOFF_REVERSAL

"
SPM-148320,DT037066,Related checkbox fields in a cluster are not programmatically grouped,CEF,Dynamic Evidence,Editor,,"*Issue Description:*
In Dynamic Evidence, related checkbox groups are not programmatically linked in the HTML. This affects evidence types such as Application Filer Consent, Demographics, Enrolled Plan, and Member Relationship. Consequently, screen readers do not announce the relationship between these checkboxes, making it difficult for users of assistive technology to understand that they represent a single set of options.
*User Interface Impact:* Yes
*Steps to Reproduce:*
# Log in as an Insurance Affordability caseworker.
# Create an Insurance Affordability case.
# Click the Evidence tab.
# Create new evidence for Application Filer Consent, Demographics, Enrolled Plan, and Member Relationship.
# Issue: Related checkbox fields that appear as a group are not programmatically grouped, so assistive technologies do not identify them as a single set of options.

*Resolution:*
Dynamic Evidence now programmatically groups related checkbox fields that are presented as a single set of options. This allows assistive technologies, such as screen readers, to identify and announce the relationship between grouped checkboxes, which improves accessibility and usability for users who rely on assistive technology. 
This update changes the layout on some Dynamic Evidence pages, where checkbox fields are visually grouped. As a result, field order and spacing can change on the following pages:
* Demographics: spacing between fields changes.
* New Member Relationship: the order of fields changes.
* Application Filer Consent: the order of fields changes. 

*Technical:*
Dynamic Evidence metadata now supports a 'StandardContainer' element to group boolean fields. On create and modify Dynamic UIM pages, this generates a 'CONTAINER' element with 'FULL_ROW=true', rendering a fieldset and legend. On view pages, the container is flattened to display standard field values. With the release of Cúram 8.2.2.0, a new version of the Editor Applications (version 2.1) has been introduced to allow authors to apply these grouped containers to customized evidence types.
"
SPM-148369,,Updates to the versions of MS Word supported for the Microsoft Word Integration feature,Third Party Updates,,,,"The following changes have been made to the Microsoft Word version support for the Microsoft Word Integration feature in Cúram.
* Support for Microsoft Word 2024 and future maintenance updates has been added.

This means that the Microsoft Word versions supported for SPM 8.2.2.0 are as follows:
* 2021 and future maintenance updates.
* 2024 and future maintenance updates.
* Microsoft Word for Microsoft 365 (included in Microsoft 365 Apps for enterprise) current channel and future updates.

"
SPM-148486,,Update Xalan-Java to the latest version,Third Party Updates,,,,"Xalan-Java (which contains both the Xalan and Serializer JAR files) is an XSLT processor for transforming XML documents into HTML, text, or other XML document types.
The library is used across many different Cúram builds to transform XML documents into other formats required by Cúram.
The version of the Xalan and serializer libraries has now been updated from 2.7.3-1 to 2.7.3-2. The new version contains a defect fix for XML parsing issues. As a result of this upgrade, the following changes have been made to the Cúram deliverable:
* TI/lib/release/third&#95;party&#95;version.properties - the versions of the Xalan and serializer JAR files have been updated.
* CuramCDEJlibextjarxalan-2.7.3-2.jar - the version of the JAR file has been updated.
* CuramCDEJlibextjarserializer-2.7.3-2.jar - the version of the JAR file has been updated.
* CuramSDEJlibxalan-2.7.3-2.jar - the version of the JAR file has been updated.
* CuramSDEJlibserializer-2.7.3-2.jar - the version of the JAR file has been updated.
* CuramSDEJxmlserverxalan-2.7.3-2.jar - the version of the JAR file has been updated.
* CuramSDEJxmlserverserializer-2.7.3-2.jar - the version of the JAR file has been updated.

It is recommended that you update any references in custom scripts and other artifacts to point to the new version of the JAR files mentioned above. "
SPM-148647,,"Remove the JDOM-related classes, deprecated as a result of the replacement of JDOM by dom4j, from the Cúram deliverable",Code Removal,,,,"Code artifacts that were deprecated in Cúram 8.0.2.0 following the replacement of the JDOM library with the dom4j library have now been removed. References to these artifacts have also been removed from the SPM documentation.
The following Java classes have been removed from the Cúram deliverable:
* curam.advisor.impl.JDOMAdvice2XMLBuilder
* curam.advisor.impl.JDOMAdviceContext2XMLBuilder.java

* curam.intake.bom.impl.JDOMIntakeProcessConfiguration
* curam.intake.bom.impl.JDOMIntakeProcessConfigurationImpl
* curam.intake.internal.impl.XmlTools
* curam.intakelifeevent.util.impl.XmlTools
* curam.intaketriage.util.impl.XmlTools 

Update any custom code or extensions that reference these classes, as they are no longer available."
SPM-148659,,Remove deprecated Citizen Context Viewer Link APIs,Code Removal,,,,"Code artifacts associated with the Citizen Context Viewer (CCV) Link that were deprecated in Cúram 8.1.0.0 have been removed. References to these artifacts have also been removed from the Cúram documentation. 
The following elements have been removed from the Cúram deliverable:
* curam.cefwidgets.docbuilder.impl.LinkBuilder.createCCVLink()
* curam.cefwidgets.docbuilder.impl.ImagePanelBuilder.addCCVLink()
* curam.cefwidgets.docbuilder.impl.ImagePanelBuilder.setUpCCVLink()
* ImagePanelBuilder.xml (message: INF&#95;CCV_VIEWER) 

Update any custom code or extensions that reference these classes, as they are no longer available. "
SPM-148663,,External Party Search - External Party Name fails to display as expected,SOL,Youth Services,,,"*Issue Description:*
When attempting to create a new Legal Action of type Disposition Order and Offense Petition, the user is unable to specify the Court Location and Judge. The selected Court Location from the drop-down field does not persist, and the assigned Judge intermittently fails to appear. 
*User Interface Impact:* Yes
*Prerequisites:*
# Log in as a caseworker.
# Click External Party under Registration in the shortcuts panel.
# Click Next on the Search External Party page.
# Enter ?MyExternalParty? in the External Party Name field, select ?Legal Authority? for the Type field, and enter an address and phone number.
# Click Save.
# On the MyExternalParty tab, navigate to the Offices tab.
# Click New Office Member from the actions menu.
# Enter ?Court? in the Name field, select ?Court? for the Type field, enter an address, and click Save. 
# On the Office page, from the row-level action, click ?New office Member?.
# Enter Name as ?Judge Judy?, select Administrator for Profile field, and click Save.

*Steps to Reproduce:*
# Log in as a youth service case supervisor.
# Register a person and create an youth integrated case.
# In the case, navigate to Legal and select the Legal Actions page.
# Click New Legal Action.
# Select Legal Action Type: ?Petition? and Legal Category: ?Offense Petition?. 
# Click Next.
# On the New Petition page, click the Court Location field search.
# On the External Party Office Search page, enter ?MyExternalParty? in the External Party name field and click search.
# Issue: User is unable to select the Court Location. 

*Resolution:*
Youth service case supervisor can now capture Court Location and Judge details successfully while creating a Legal Action. "
SPM-148665,,Verification misspelled in system property,SOL,Common Intake,,,"*Issue Description:*
The system property ?curam.commonintake.application.authorization.mandatory.verfication.validation.enabled? contains a spelling mistake in the word verification. This makes searching for the property in the system administration application difficult for the system administrator
*User Interface Impact:* No
*Resolution:*
Updated the system property name from ?curam.commonintake.application.authorization.mandatory.verfication.validation.enabled? to ?curam.commonintake.application.authorization.mandatory.verification.validation.enabled? to address the spelling mistake. 
*Technical:*
The property will be updated as part of the database upgrade step, insertproperties. "
SPM-148688,,Remove deprecated superseded APIs and UIMs for multi-locale work from the Cúram deliverable,Code Removal,,,,"The code artifacts associated with superseded APIs and UIMs for multi-locale support that were deprecated in Cúram 8.1.0.0 have been removed. References to these artifacts have also been removed from the Cúram documentation.
The following API methods have been removed and replaced: 
../EJBServercomponentscoresourcecuramcoreimplLocation.java
* countLocationsByNameAndStatus(LocationNameStructRef) replaced by countLocationsByNameAndStatus1(LocationNameLocaleAndStatusKey)
* readLocationByName(LocationNameStructRef) replaced by readLocationByName1(LocationNameLocaleAndStatusKey)
* readLocationName(LocationKey) replaced by readLocationName1(LocationKey)

../EJBServercomponentscoresourcecuramcoreslentityimplOrganisationUnit.java
* readOrgUnitID(OrganisationUnitName) replaced by readOrgUnitIDByNameAndLocale(OrgUnitNameAndLocaleKey)

../EJBServercomponentscoresourcecuramcoreslentityimplSlot.java
* readByNameAndScheduleID(SlotNameAndScheduleKey) replaced by readByNameScheduleIDAndLocale(SlotNameScheduleAndLocaleKey)

../EJBServercomponentscoresourcecuramcoreslentityimplWorkQueue.java
* searchByName(WorkQueueNameDetails) replaced by searchByNameAndLocale(SearchWorkQueueNameKey)
* searchByExactMatchName(WorkQueueNameDetails) replaced by searchByExactMatchNameAndLocale(SearchWorkQueueNameKey)

../EJBServercomponentscoresourcecuramworkspaceservicesfacadeimplLocalizableText.java
* addTextTranslation(TextTranslationDetails) replaced by addTextTranslation1(TextTranslationDetails1)
* modifyTextTranslation(TextTranslationDetails) replaced by modifyTextTranslation1(TextTranslationDetails1)
* readTextTranslation(TextTranslationKey) replaced by readTextTranslation1(TextTranslationKey)
* viewLocalizableText(LocalizableTextKey) replaced by viewLocalizableText1(LocalizableTextKey)

The following UIM and VIM files have been removed or replaced: 
..webclientcomponentscoreLocalizableText
* LocalizableText&#95;addRichTextTranslation.uim replaced by LocalizableText&#95;addTextTranslation1.uim
* LocalizableText&#95;modifyRichTextTranslation.uim replaced by LocalizableText&#95;modifyTextTranslation1.uim
* LocalizableText&#95;modifyTextTranslation.uim replaced by LocalizableText&#95;modifyTextTranslation1.uim
* LocalizableText&#95;resolveAddTextTranslation.uim
* LocalizableText&#95;resolveModifyTextTranslation.uim
* LocalizableText&#95;viewLocalizableTextView.vim replaced by LocalizableText&#95;viewLocalizableTextView1.vim 

Update any custom code, UIMs, or integrations that reference these APIs or files to use the replacement methods and artifacts."
SPM-148689,,Remove the deprecated curam.sec.sef.application.facade.impl.SocialEnterpriseFolder.modifyNote() function from the Cúram deliverable,Code Removal,,,,"The SocialEnterpriseFolder.modifyNote() facade method, which was deprecated in Cúram 8.1.0.0, has been removed. References to this method have also been removed from the SPM documentation. 
The following element has been removed from the Cúram deliverable:
* curam.sec.sef.application.facade.impl.modifyNote() "
SPM-148744,DT037459,Modern Java - WebLogic administrator remote console throws an error  if the DefaultIdentityAsserter is configured,Third Party Updates,,Administration,,"*Issue Description:*
In a Modern Java Oracle WebLogic 14.1.2.0 deployment, the local Admin console has been replaced by a Remote Console, which operates via REST requests. 
HTTP 401 response issues may appear in the console banner if the DefaultAuthenticator is not configured in the Oracle WebLogic application deployment security configuration. 
*User Interface Impact:* No
*Resolution:*
# WebLogic deployment configuration target is updated to ensure DefaultAuthenticator is configured with the control-flag set to SUFFICIENT.
# The Cúram Deployment Guide for WebLogic Security Setup has been updated to reflect DefaultAuthenticator configuration. "
SPM-149048,DT037443,Location Tree View Sort Order Issue,CEF,,,,"*Issue Description:*
In the Cúram Administration Workspace, when an administrator views the Location Structure Tree View under Organization, the parent and child locations are not displayed in alphabetical order. This makes it difficult for users to quickly find and manage locations, as the expected sorting order is not followed.
*User Interface Impact:* Yes
*Steps to Reproduce:*
# Log in as an administrator.
# Navigate to the Administration Workspace.
# Select My Organization under the Organization section in the Administration Workspace shortcuts panel.
# Open the Structures tab and select Location Structures.
# Click a Location Structure name and open the Tree View.
# Expand the locations and observe the order of the parent and child locations.
# Issue: The location tree structure is not sorted in alphabetical order.

*Resolution:*
The sorting logic was updated to ensure consistent and predictable ordering. The Location Structure Tree View now displays the parent and child locations in alphabetical order. "
SPM-149051,,Modern Java - REST application deployment fails on WebLogic when RestServerCode is deployed separately in Modern Java builds.,CEF,Application Development Environment,,,"*Issue Description:*
In Modern Java, when deploying the Cúram REST application separately to WebLogic application servers using the application name ?RestServerCode?, the login fails with a javax.naming.NameNotFoundException. 
*User Interface Impact:* No
*Steps to Reproduce:*
# Build the Cúram REST application EAR for separate deployment with the application name ?RestServerCode.?
# Deploy the REST EAR to the WebLogic Application Server.
# Start the application server and attempt to log in to the REST application using a browser.
# Issue: The REST application fails to log in and returns a NameNotFoundException.

*Resolution:*
The REST application now correctly identifies and uses the deployed application name during startup. The REST application can be deployed separately to WebLogic as ?RestServerCode? for REST-only server configurations and will start successfully. "
SPM-149112,DT037441,The following validation is thrown when registering a prospect as a person: 'A prospect person cannot have more than one 'Registered' name.',CEF,Business Services,Participant Management,,"*Issue Description:*
When the Participant Evidence Case (PEC) is enabled, prospect persons with effective-dated changes on their Names evidence cannot be registered as a person. The system incorrectly displays the validation message: 'A prospect person cannot have more than one 'Registered' name,' preventing caseworkers from completing the registration process.
*User Interface Impact:* No
*Prerequisites:*
# Log in as a system administrator.
# Click Properties underneath Application Data in the shortcuts panel.
# Search for the property ?curam.pec.enabled?.
# Use the row-level action to update the property?s value to YES.
# Publish the changes.

*Steps to Reproduce:*
# Log in as a caseworker.
# Register a prospect person. 
# Edit Names evidence to create an effective-dated change record (for example, update a comment and set the Effective Date of Change to today?s date or a future date).
# Apply the evidence changes.
# From the prospect person context, select the Register action to register the prospect person as a person.
# In the Register Prospect Person as Person wizard, click Next.
# Enter all mandatory details and click Save.
# Issue: The system displays the following validation message: ?A prospect person cannot have more than one ?Registered? name.?

*Resolution:*
It is now possible to register a prospect person as a person when effective-dated changes exist for evidence that changes over time, such as Names evidence.
"
SPM-149206,,Update the Accessibility section of the Cúram prerequisites and supported software document,Accessibility,,,,"*Issue Description:*
The accessibility section of the Cúram prerequisites and supported software for the caseworker application does not clearly define the product's alignment with industry standards versus specific assistive technologies. Previously, the documentation listed specific screen reader and browser combinations, such as JAWS 2025 with Microsoft Edge, as the only certified options. This caused confusion regarding whether the product supports the underlying accessibility standards or only the specific tools used during internal validation.
*User Interface Impact:* No
*Steps to Reproduce:*
# Navigate to the Accessibility section of the Cúram prerequisites and supported software.
# Review the supported software table.
# Issue: The documentation specifies screen reader and browser combinations as the only certified ones.

*Resolution:*
The accessibility prerequisites are updated to clarify that Cúram aligns with recognized accessibility standards, including Web Content Accessibility Guidelines (WCAG), Section 508, and EN 301 549. This alignment is independent of specific assistive technologies, browsers, or devices. Assistive technologies that comply with these same standards are expected to interoperate with Cúram. 
The list of assistive technologies has been updated to reflect key tools used during accessibility validation to verify conformance. Non Visual Desktop Access (NVDA) is now used for validation with Microsoft Edge, replacing JAWS as the primary validation tool. "
SPM-149351,,Update the Cúram supported Software Prerequisites to use more meaningful vendor terminology,Third Party Updates,,,,"The Cúram software prerequisites document outlines the supported operating systems, prerequisites, and the supported software for the Cúram product. 
The terminology used to describe support for future patches, fixes, and minor versions has been updated. Previously, a generic term such as ?and future fix packs? was used across multiple software items. This has now been replaced with vendor-appropriate terminology to more accurately reflect how each software provider defines updates. 
Examples of this change include the following:
# Oracle Database 19c - Updated from ?and future Release Updates (RU)? to ?and future Release Updates (RU), release updates revision (Revision) and increments.?
# Google Chrome - Updated from ?and future fix packs? to ?and future minor versions, builds and patches?.

This change in the terminology does not affect the level of support. Support for future patches, fixes and minor versions remains unchanged. "
SPM-149364,DT037444,Names evidence updates are not always reflected on the person context panel,CEF,Business Services,Participant Management,,"*Issue Description:*
When a caseworker updates the Names evidence for a person, the person context panel does not always display the updated name. This issue occurs when the Names evidence is modified with or without an effective date of change, resulting in the context panel not reflecting the latest information. This problem can lead to confusion for caseworkers, as the displayed name may not reflect the most recent evidence updates.
*User Interface Impact:* No
*Steps to Reproduce:*
# Register a person with a date of birth of November 1, 2020.
# Edit the Names evidence, add an effective date of change in the past (November 1, 2021), and modify the last name.
# Edit the Names evidence again, remove the effective date of change, and modify the last name.## The name in the context panel is not updated.

# Edit the Names evidence again and change the last name.## The context panel is not updated.

# Issue: The context panel does not display the updated name after modifying the Names evidence.

*Resolution:*
An update has been made to the evidence infrastructure logic to ensure that only one evidence record can exist for a given effective date. In the scenario outlined here, when a caseworker modifies the Names evidence, the system prevents saving a new record with an effective date that matches an existing record in the same succession. If a duplicate effective date is detected, the user is prompted to update the existing record instead. The context panel now reliably displays the most recent name information after evidence updates. 
*Technical:*
A new validation, ERR&#95;CONTROLLER&#95;XRV&#95;DUPLICATE&#95;EVIDENCE&#95;ON&#95;EFFECTIVE&#95;DATE, was introduced to prevent multiple active evidence records with the same effective date in a succession.
"
SPM-149575,,Update Carbon Design System UI Components from v11.24.0 to v11.97.0,Third Party Updates,,,,"1) Carbon Design System packages are open?source libraries of reusable UI components and styles that ensure consistency, accessibility, and scalability across digital products.
2) Carbon Design System packages (@carbon/react, @carbon/styles, @carbon/icons, etc.) are consumed primarily to provide foundational UI primitives (layout, typography, icons, themes) and accessibility enhancements to build Cúram application components.
3) Carbon Design System packages are updated from version 11.24.0 to 11.97.0. This updated deliverable has some minor bug fixes and enhancements. The following files in the deliverable have been updated:
    3.1) CuramCDEJjscriptSPMUIComponentsspm-uicomponents-activity-view.chunk.js
    3.2) CuramCDEJjscriptSPMUIComponentsspm-uicomponents-carbon-addons.chunk.js
    3.3) CuramCDEJjscriptSPMUIComponentsspm-uicomponents-case-overview.chunk.js
    3.4) CuramCDEJjscriptSPMUIComponentsspm-uicomponents-case-overview-apollo-client.chunk.js
    3.5) CuramCDEJjscriptSPMUIComponentsspm-uicomponents-ccv.chunk.js
    3.6) CuramCDEJjscriptSPMUIComponentsspm-uicomponents-charts.chunk.js
    3.7) CuramCDEJjscriptSPMUIComponentsspm-uicomponents-main.bundle.js
    3.8) CuramCDEJjscriptSPMUIComponentsspm-uicomponents-vendor.chunk.js
    3.9) CuramCDEJjscriptSPMUIComponentsspm-uicomponents-vendors~activity-view~ccv.chunk.js
4) The updates in the deliverable mean the following updates to parts of the UI:
    4.1) The DropDown component has been refactored (arbitrary text input, case?insensitive matching).
    4.2) Accessibility updates to various components in the user interface.
    4.3) Updated styling on UI form control components (icon paths, RTL styling for Carbon 11 compatibility). "
